name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
zhilu LUO,CHN,female,1503.0,1753.0,3370.0,0,0,0.0
camilla MORONI,ITA,female,1306.5,694.0,2227.5,8b+,0,19.22
futaba ITO,JPN,female,1303.5,953.0,1653.5,0,0,0.0
melody SEKIKAWA,JPN,female,1303.0,0.0,0.0,0,0,0.0
oriane BERTONE,FRA,female,1260.0,48.0,2346.0,8c+,2,21.31
agathe CALLIET,FRA,female,1247.0,0.0,0.0,8a+,0,18.73
jessica PILZ,AUT,female,1240.0,3220.0,5140.0,9a+,7,22.12
jennifer eucharia BUCKLEY,SLO,female,1185.0,560.0,1745.0,0,0,0.0
katja DEBEVEC,SLO,female,1145.0,27.0,867.0,0,0,0.0
anna maria APEL,GER,female,1134.0,0.0,0.0,0,0,0.0
madison RICHARDSON,CAN,female,948.2,0.0,0.0,0,0,0.0
ayala KEREM,ISR,female,897.5,215.0,1028.5,0,0,0.0
lucia DÖRFFEL,GER,female,822.0,384.0,896.0,8c,0,21.17
fanny GIBERT,FRA,female,809.5,107.0,759.5,8b,0,18.89
chloe CAULIER,BEL,female,773.5,93.5,780.5,8a+,0,18.0
alma BESTVATER,GER,female,761.2,0.0,0.0,0,0,0.0
sofya YOKOYAMA,SUI,female,714.5,0.0,0.0,0,0,0.0
lucija TARKUS,SLO,female,644.0,770.0,975.0,8c+,1,21.08
ai MORI,JPN,female,636.7,2610.0,4771.7,8a,0,19.0
laura ROGORA,ITA,female,618.0,2543.0,2726.0,9a,6,22.29
ievgeniia KAZBEKOVA,UKR,female,618.0,686.0,1666.0,0,0,0.0
stasa GEJO,SRB,female,596.0,345.0,816.0,8c,0,19.94
afra HÖNIG,GER,female,583.0,0.0,0.0,7c+,0,15.42
mia KRAMPL,SLO,female,540.5,1828.0,2058.5,8c,0,20.46
franziska STERRER,AUT,female,540.0,119.0,508.5,7b,0,12.15
kyra CONDIE,USA,female,503.8,91.0,521.5,0,0,0.0
giorgia TESIO,ITA,female,499.0,125.0,534.5,8b+,0,19.0
selma ELHADJ MIMOUNE,FRA,female,463.5,0.0,0.0,0,0,0.0
kylie CULLEN,USA,female,447.5,46.0,451.5,8b+,0,18.73
maya DREAMER,ISR,female,420.0,0.0,0.0,0,0,0.0
yuetong ZHANG,CHN,female,371.5,1195.0,2188.0,0,0,0.0
giulia MEDICI,ITA,female,350.7,0.0,0.0,0,0,0.0
hannah MEUL,GER,female,337.0,472.0,712.0,0,0,0.0
jain KIM,KOR,female,335.0,1338.0,1270.0,0,0,0.0
natsumi HIRANO,JPN,female,326.5,0.0,0.0,0,0,0.0
molly THOMPSON-SMITH,GBR,female,316.5,586.0,1024.5,8a+,0,17.5
miku ISHII,JPN,female,315.8,0.0,0.0,0,0,0.0
lucy GARLICK,GBR,female,282.8,0.0,0.0,0,0,0.0
maya STASIUK,AUS,female,278.8,50.0,287.8,0,0,0.0
andrea KÜMIN,SUI,female,264.3,0.0,0.0,8c,0,20.17
martina BURŠÍKOVÁ,SVK,female,244.5,32.0,248.5,0,0,0.0
manon HILY,FRA,female,223.0,1225.5,1130.5,8c+,5,21.26
flavy COHAUT,FRA,female,199.0,0.0,0.0,0,0,0.0
johanna FÄRBER,AUT,female,189.0,0.0,0.0,0,0,0.0
roxana WIENAND,GER,female,182.5,38.0,182.5,0,0,0.0
ryu NAKAGAWA,JPN,female,173.5,344.0,433.5,0,0,0.0
summer FRASER,AUS,female,167.0,0.0,0.0,0,0,0.0
yejoo SEO,KOR,female,166.5,145.0,246.5,0,0,0.0
florence GRÜNEWALD,GER,female,163.8,0.0,0.0,0,0,0.0
yejin JUNG,KOR,female,162.5,0.0,0.0,0,0,0.0
lily ABRIAT,FRA,female,155.0,0.0,0.0,0,0,0.0
michaela SMETANOVA,CZE,female,152.0,421.0,454.0,8a+,0,17.38
hélène JANICOT,FRA,female,151.0,1473.0,1101.0,0,0,0.0
anna LECHNER,GER,female,148.0,0.0,0.0,0,0,0.0
vita LUKAN,SLO,female,146.0,889.0,816.0,8c+,2,21.57
petra KLINGLER,SUI,female,140.5,118.0,157.5,0,0,0.0
babette ROY,CAN,female,137.5,18.0,155.5,0,0,0.0
sara COPAR,SLO,female,134.0,1194.5,942.0,0,0,0.0
claire CHEFFINGS,AUS,female,132.0,0.0,0.0,0,0,0.0
valentina AGUADO,ARG,female,127.0,229.5,283.0,0,0,0.0
adriene akiko CLARK,USA,female,120.0,206.0,326.0,0,0,0.0
lisa KLEM,NED,female,118.7,0.0,0.0,0,0,0.0
amber SCHIFFELEERS,NED,female,116.0,0.0,0.0,0,0,0.0
helen GILLETT,USA,female,114.0,14.0,121.0,0,0,0.0
gayeon CHO,KOR,female,112.5,235.0,347.5,0,0,0.0
lea KEMPF,AUT,female,108.0,0.0,0.0,0,0,0.0
rose WELLER,AUS,female,106.0,0.0,0.0,0,0,0.0
clea HALL,AUS,female,85.0,0.0,0.0,0,0,0.0
alannah YIP,CAN,female,81.0,60.0,81.0,7c+,0,16.0
yael TAUB,ISR,female,79.5,0.0,0.0,0,0,0.0
ingrid KINDLIHAGEN,NOR,female,79.0,17.5,118.5,8b,0,18.27
judith CARROLL,AUS,female,69.0,0.0,0.0,0,0,0.0
julija KRUDER,SLO,female,68.0,0.0,0.0,8a,0,16.3
emily SCOTT,AUS,female,59.5,25.0,84.5,0,0,0.0
sandra LETTNER,AUT,female,58.8,0.0,0.0,0,0,0.0
elnaz REKABI,IRI,female,58.5,48.0,58.5,0,0,0.0
noa SHIRAN,ISR,female,58.0,378.0,397.0,8c,0,23.0
hung ying LEE,TPE,female,58.0,63.0,121.0,0,0,0.0
abi LANCE,AUS,female,56.0,0.0,0.0,0,0,0.0
xuanzhen CHEN,CHN,female,53.0,61.0,114.0,0,0,0.0
sol SA,KOR,female,52.0,82.0,82.0,8c,0,20.5
lucile SAUREL,FRA,female,52.0,0.0,0.0,0,0,0.0
anastasiia KOBETS,UKR,female,48.7,308.0,356.7,0,0,0.0
ema GALEOVA,CZE,female,46.8,12.0,81.8,8b,0,18.44
yajun HUANG,CHN,female,45.0,0.0,0.0,0,0,0.0
eilin TAN,SGP,female,44.5,5.0,49.5,0,0,0.0
